word	frequency
election	99
votes	48
ballots	38
vote	35
people	34
amp	33
rigged	33
fraud	32
pennsylvania	25
0	25
states	24
georgia	24
state	22
big	22
win	22
ballot	20
massive	19
allowed	19
voting	18
fake	18
mail	17
many	17
thousands	17
poll	17
dominion	17
great	17
trump	16
biden	16
observers	15
fraudulent	14
let	14
democrats	14
voter	14
2020	14
country	14
counting	14
watchers	14
signatures	14
never	13
republican	13
see	13
must	13
way	12
governor	12
got	12
even	11
one	11
look	11
michigan	11
us	11
hundreds	11
rooms	11
briankempga	11
numbers	11
things	10
also	10
place	10
like	10
media	10
would	10
news	10
oann	10
via	10
case	10
count	9
far	9
corrupt	9
watch	9
recount	9
envelopes	9
long	8
counted	8
radical	8
left	8
others	8
steal	8
easily	8
caught	8
voted	8
get	7
cast	7
voters	7
want	7
allow	7
legal	7
number	7
detroit	7
much	7
philadelphia	7
dead	7
republicans	7
illegally	6
president	6
go	6
system	6
open	6
stop	6
check	6
going	6
done	6
hard	6
large	6
job	6
illegal	6
happened	6
lot	6
watching	6
dems	6
evidence	6
unconstitutional	6
important	6
breitbartnews	6
signed	5
anyone	5
used	5
result	5
trying	5
wrong	5
close	5
total	5
means	5
know	5
bad	5
took	5
history	5
stolen	5
nevada	5
TRUE	5
expose	5
called	5
chanelrion	5
secure	5
secretary	5
consent	5
decree	5
match	5
call	5
nothing	5
texas	5
perhaps	5
easy	5
wow	5
matter	4
thought	4
thank	4
security	4
democrat	4
lost	4
thrown	4
america	4
polling	4
right	4
sign	4
unsolicited	4
give	4
late	4
lead	4
scam	4
rino	4
found	4
cannot	4
coming	4
100	4
problems	4
court	4
night	4
working	4
reported	4
proof	4
united	4
results	4
including	4
everyone	4
without	4
time	4
machines	4
hoax	4
finding	4
corruption	4
enough	4
taking	4
data	4
years	4
ever	4
arizona	4
process	4
signature	4
izing	4
fighting	4
flip	4
show	4
find	4
swing	4
says	4
joe	3
anything	3
millions	3
happen	3
military	3
crazy	3
c	3
using	3
make	3
possible	3
multiple	3
times	3
already	3
tabulated	3
north	3
carolina	3
year	3
may	3
group	3
foreign	3
totally	3
chris	3
russia	3
plus	3
recent	3
every	3
live	3
learning	3
run	3
happening	3
supreme	3
systems	3
leading	3
disappear	3
likewise	3
plenty	3
therefore	3
tens	3
received	3
could	3
71	3
order	3
pollster	3
impossible	3
obama	3
wide	3
forward	3
went	3
looking	3
report	3
immediately	3
except	3
constitution	3
meaningless	3
twitter	3
10	3
real	3
stand	3
owned	3
glitches	3
joke	3
mess	3
two	3
past	3
needed	3
made	3
least	3
home	3
part	3
need	3
