Week	Germany	Brazil	Peru	Bolivia	Mexico	United Arab Emirates	Israel	South Africa	India	Spain	Austria	Switzerland	Ireland	United Kingdom	Australia	United States	Canada	Italy	France	Belgium	Netherlands	Finland	Denmark	Norway	Sweden
05/01/2020	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
12/01/2020	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
19/01/2020	2	1	2	3	5	2	1	1	1	2	2	2	2	2	4	3	4	2	1	1	1	3	1	1	1
26/01/2020	11	6	6	8	4	16	5	8	4	7	8	8	8	8	14	8	14	13	3	3	5	7	4	6	7
02/02/2020	6	2	3	7	3	9	7	7	4	4	4	4	7	5	9	5	7	6	2	3	4	3	3	3	5
09/02/2020	4	1	2	4	2	6	6	5	3	4	3	3	5	6	7	4	5	5	2	2	2	3	2	2	3
16/02/2020	3	1	1	2	1	4	6	3	2	3	3	3	3	3	4	3	4	22	1	1	2	2	2	2	3
23/02/2020	31	8	11	10	8	14	14	7	2	27	30	33	24	15	10	10	10	86	9	10	19	9	11	13	15
01/03/2020	37	5	15	10	6	24	19	19	10	26	23	36	37	25	19	20	15	65	15	18	25	10	16	17	20
08/03/2020	76	17	38	34	13	37	35	30	16	86	82	59	69	55	36	46	44	94	25	38	54	37	52	47	44
15/03/2020	100	54	66	33	33	52	41	68	39	82	87	72	65	78	56	62	54	73	34	47	61	35	36	37	39
22/03/2020	76	41	36	32	26	66	34	73	70	62	57	49	55	63	58	48	42	59	20	32	45	27	26	25	31
29/03/2020	56	26	34	30	23	67	31	56	59	46	48	40	41	44	42	38	33	44	15	25	31	21	19	22	28
05/04/2020	49	32	46	37	37	68	29	43	44	42	39	32	39	41	37	35	31	38	10	19	24	21	18	26	22
12/04/2020	47	27	38	32	29	63	26	42	43	31	30	28	34	36	30	27	24	35	8	17	19	16	14	20	18
19/04/2020	34	25	28	23	20	42	19	39	36	27	25	21	25	27	22	23	19	28	7	15	18	12	12	14	14
26/04/2020	30	17	20	18	14	33	15	26	27	24	21	19	19	20	14	13	13	25	6	12	14	9	10	11	11
03/05/2020	31	15	15	14	9	29	15	24	26	23	19	17	15	19	13	11	10	23	5	11	13	7	8	8	10
10/05/2020	27	13	13	12	9	27	12	20	22	19	18	16	14	18	11	10	9	19	4	8	11	6	9	8	8
17/05/2020	21	11	11	9	7	22	10	16	19	18	15	13	11	15	8	9	8	16	3	7	11	6	8	6	8
24/05/2020	18	8	10	9	6	20	10	12	17	13	12	12	10	13	8	7	7	13	3	6	9	5	7	5	7
31/05/2020	16	8	8	9	5	17	12	11	15	10	12	10	9	12	6	5	5	12	2	6	9	4	6	4	7
07/06/2020	15	7	7	8	5	15	10	10	16	7	11	10	8	10	6	6	5	10	2	5	9	4	6	4	7
14/06/2020	18	6	7	7	4	15	10	10	12	8	12	10	7	10	7	6	5	10	2	5	9	4	7	4	7
21/06/2020	17	6	7	6	4	13	11	9	12	8	13	12	7	10	9	7	5	9	2	5	8	4	6	4	6
28/06/2020	14	5	6	7	4	12	13	10	11	7	17	18	8	10	10	8	5	8	2	4	8	4	6	4	6
05/07/2020	14	5	5	6	4	12	16	11	11	9	17	15	8	10	12	8	5	9	2	6	9	4	6	4	6
12/07/2020	14	4	5	7	4	11	14	10	12	11	15	13	9	9	11	7	5	8	2	7	9	4	5	4	5
